User;Time_Theory
3;0
6;13
9;0
10;26
11;1
12;0
15;6
18;2
19;21
22;1
23;0
24;15
25;0
26;0
27;0
29;0
30;0
31;0
35;8
36;0
40;9
41;0
42;0
44;0
48;4
52;11
53;0
54;7
57;1
58;0
59;0
60;0
61;0
64;0
65;0
67;0
70;24
71;0
72;1
76;12
77;1
79;41
81;0
83;0
84;0
87;4
91;0
92;0
96;0
97;1
104;0
107;0
110;0
114;0
115;0
119;0
120;0
121;0
129;0
130;2
132;11
133;0
134;0
136;0
140;9
141;0
149;0
151;0
152;0
153;6
156;0
157;0
158;0
161;35
162;0
163;0
170;0
175;0
176;19
177;27
179;0
180;30
