User,Time_Theory,Time_Quiz,Time_Forum,Time_Assignment,Cluster
1,25,0,0,18,cluster1
2,24,4,321,2,cluster3
3,0,0,1,0,cluster4
4,79,2,3,50,cluster2
5,0,0,19,0,cluster4
6,39,26,11,14,cluster1
7,193,13,2050,71,cluster0
8,33,20,1957,22,cluster5
11,24,0,33,21,cluster3
13,30,1,67,31,cluster2
14,0,0,1,0,cluster4
15,4,0,17,2,cluster1
16,0,0,0,0,cluster4
18,2,17,3,0,cluster4
19,23,0,174,18,cluster3
20,0,0,5,0,cluster4
21,26,6,316,39,cluster2
24,4,0,0,2,cluster1
26,8,1,4,0,cluster4
27,94,4,10,14,cluster1
28,1,0,122,6,cluster3
29,2,0,8,0,cluster4
30,89,27,142,18,cluster6
31,208,6,606,83,cluster0
33,26,1,0,0,cluster1
34,108,19,642,8,cluster6
35,0,0,2,0,cluster4
36,42,30,0,23,cluster1
37,0,0,9,0,cluster4
39,31,10,5,79,cluster2
40,0,0,199,0,cluster4
44,7,14,2,28,cluster1
45,23,0,0,9,cluster1
46,0,0,0,0,cluster4
47,0,0,51,0,cluster4
48,9,4,370,0,cluster3
49,15,7,0,0,cluster4
50,14,0,0,29,cluster1
51,226,10,292,66,cluster0
52,37,0,0,1,cluster1
53,46,3,3,0,cluster1
54,0,0,5,0,cluster4
55,20,2,2,32,cluster1
56,11,0,0,20,cluster1
57,51,11,0,37,cluster1
58,0,0,1,0,cluster4
59,37,20,4,5,cluster1
60,37,2,438,18,cluster3
61,7,2,0,0,cluster4
62,0,0,0,0,cluster4
63,20,31,0,8,cluster1
64,42,15,647,26,cluster6
66,0,0,0,0,cluster4
67,8,0,78,0,cluster4
68,28,0,1165,17,cluster3
69,0,0,2,0,cluster4
70,170,5,2,55,cluster0
71,35,10,0,5,cluster1
72,65,22,768,31,cluster6
73,55,16,1603,0,cluster5
74,0,0,2,0,cluster4
75,43,11,156,37,cluster2
76,0,0,43,0,cluster4
78,121,44,723,3,cluster6
81,29,20,226,24,cluster2
82,0,0,595,0,cluster3
83,0,0,1,0,cluster4
84,10,3,541,4,cluster3
85,33,0,1115,2,cluster3
86,4,0,1,0,cluster4
87,28,0,0,14,cluster1
88,29,18,11,22,cluster1
89,130,21,533,40,cluster6
90,0,0,70,0,cluster4
91,73,7,242,22,cluster2
92,105,24,561,66,cluster6
93,4,0,1,0,cluster4
94,17,38,10,27,cluster1
95,8,0,2,10,cluster1
97,0,11,0,0,cluster4
99,40,20,19,16,cluster1
101,63,5,60,73,cluster2
102,5,0,120,0,cluster4
104,67,28,180,14,cluster6
105,0,0,2,0,cluster4
106,76,18,12,22,cluster1
108,131,30,405,28,cluster6
109,0,0,0,0,cluster4
110,3,5,60,44,cluster2
111,51,0,64,38,cluster2
112,3,11,13,17,cluster1
113,8,0,1,0,cluster4
114,22,4,375,10,cluster3
115,3,0,0,0,cluster4
118,0,0,2,0,cluster4
119,0,0,2,0,cluster4
121,76,24,2243,62,cluster0
122,16,4,79,56,cluster2
123,45,6,14,1,cluster1
124,56,0,220,64,cluster2
