Time,User,Action,Information
28/03/2020 14:19:00,67,Course view,Resource
28/03/2020 14:19:00,67,Course view,Resource
28/03/2020 14:19:00,67,Course view,Resource
28/03/2020 14:18:00,67,Course view,Resource
28/03/2020 10:49:00,49,Course view,Page
28/03/2020 10:19:00,147,Course view,Page
28/03/2020 10:18:00,147,Course view,Resource
27/03/2020 19:05:00,119,Course view,Page
27/03/2020 19:05:00,119,Course view,Resource
27/03/2020 19:04:00,119,Course view,Page
27/03/2020 19:04:00,119,Course view,Page
27/03/2020 19:03:00,119,Forum view discussion,Forum
27/03/2020 19:03:00,119,Forum view discussion,Forum
27/03/2020 19:03:00,119,Forum view discussion,Forum
27/03/2020 19:02:00,119,Forum view discussion,Forum
27/03/2020 19:02:00,119,Course view,Forum
27/03/2020 19:02:00,119,Course view,Resource
27/03/2020 19:02:00,119,Create subscription,Forum
26/03/2020 02:09:00,97,Course view,Resource
26/03/2020 02:08:00,97,Course view,Assignment
26/03/2020 01:14:00,97,Course view,Assignment
26/03/2020 01:12:00,97,Course view,Assignment
25/03/2020 20:10:00,29,Course view,Resource
25/03/2020 20:10:00,29,Course view,Resource
23/03/2020 14:55:00,61,Course view,Page
23/03/2020 14:36:00,147,Course view,Page
23/03/2020 14:29:00,147,Course view,Resource
23/03/2020 14:20:00,147,Course view,Page
23/03/2020 14:19:00,147,Course view,Assignment
23/03/2020 13:23:00,242,Course view,Page
23/03/2020 13:23:00,242,Course view,Resource
23/03/2020 13:12:00,242,Course view,Resource
23/03/2020 13:11:00,242,Course view,Page
23/03/2020 13:11:00,242,Course view,Page
23/03/2020 12:51:00,188,Course view,Page
23/03/2020 11:35:00,49,Course view,Page
23/03/2020 11:21:00,170,Course view,Resource
23/03/2020 11:20:00,170,Course view,Page
23/03/2020 11:15:00,109,Course view,Resource
23/03/2020 10:46:00,242,Course view,Resource
23/03/2020 10:46:00,242,Course view,Resource
26/03/2020 11:47:00,86,Course view,Resource
26/03/2020 11:47:00,86,Course view,Resource
26/03/2020 11:47:00,86,Course view,Resource
26/03/2020 11:47:00,86,Course view,Resource
26/03/2020 11:15:00,49,Course view,Page
26/03/2020 10:49:00,49,Course view,Page
26/03/2020 10:47:00,49,Course view,Resource
26/03/2020 10:42:00,49,Course view,Resource
26/03/2020 10:33:00,118,Course view,Page
26/03/2020 10:27:00,188,Course view,Page
26/03/2020 10:20:00,148,Course view,Page
26/03/2020 09:45:00,147,Course view,Page
26/03/2020 09:36:00,243,Course view,Page
26/03/2020 09:35:00,136,Course view,Page
26/03/2020 09:33:00,188,Course view,Page
26/03/2020 09:29:00,118,Course view,Page
26/03/2020 09:29:00,188,Course view,Page
26/03/2020 09:28:00,226,Course view,Page
26/03/2020 09:23:00,188,Course view,Page
26/03/2020 09:20:00,226,Course view,Page
26/03/2020 09:14:00,49,Course view,Page
26/03/2020 09:13:00,49,Course view,Page
27/03/2020 15:50:00,61,Course view,Page
27/03/2020 15:49:00,61,Course view,Page
27/03/2020 15:32:00,61,Course view,Page
27/03/2020 15:28:00,180,Course view,Quiz
27/03/2020 15:28:00,61,Course view,Page
27/03/2020 15:27:00,61,Course view,Page
27/03/2020 15:25:00,243,Quiz view,Quiz
27/03/2020 15:25:00,243,Quiz attempt,Quiz
27/03/2020 15:24:00,243,Course view,Quiz
27/03/2020 15:12:00,49,Course view,Resource
27/03/2020 14:52:00,49,Course view,Resource
27/03/2020 14:40:00,49,Course view,Resource
27/03/2020 14:38:00,49,Course view,Page
27/03/2020 14:08:00,61,Course view,Resource
27/03/2020 12:26:00,62,Quiz view,Quiz
27/03/2020 12:26:00,62,Quiz attempt,Quiz
27/03/2020 12:25:00,62,Course view,Quiz
27/03/2020 12:25:00,62,Quiz view,Quiz
27/03/2020 12:25:00,62,Quiz view,Quiz
27/03/2020 12:25:00,62,Quiz attempt,Quiz
27/03/2020 12:25:00,62,Course view,Quiz
27/03/2020 11:52:00,148,Course view,Page
27/03/2020 11:10:00,86,Quiz view,Quiz
27/03/2020 11:10:00,86,Course view,Quiz
27/03/2020 11:10:00,86,Quiz view,Quiz
27/03/2020 11:10:00,86,Quiz attempt,Quiz
27/03/2020 11:10:00,86,Course view,Quiz
27/03/2020 02:54:00,67,Course view,Resource
27/03/2020 02:52:00,67,Course view,Page
26/03/2020 22:59:00,67,Course view,Page
26/03/2020 22:57:00,67,Course view,Page
26/03/2020 17:45:00,210,Course view,Page
26/03/2020 16:55:00,61,Course view,Resource
26/03/2020 16:55:00,61,Course view,Page
26/03/2020 16:26:00,118,Course view,Page
26/03/2020 16:26:00,226,Course view,Page
26/03/2020 15:53:00,147,Course view,Page
26/03/2020 15:43:00,49,Course view,Page
26/03/2020 15:43:00,49,Course view,Page
26/03/2020 15:42:00,49,Course view,Page
26/03/2020 15:32:00,49,Course view,Page
26/03/2020 15:03:00,29,Course view,Resource
26/03/2020 15:03:00,29,Course view,Resource
26/03/2020 15:02:00,29,Course view,Resource
26/03/2020 15:00:00,29,Course view,Page
26/03/2020 14:56:00,29,Course view,Page
22/03/2020 17:06:00,49,Course view,Assignment
22/03/2020 17:06:00,49,Upload file,Delivery file
22/03/2020 17:06:00,49,Course view,Assignment
22/03/2020 17:04:00,49,Course view,Assignment
22/03/2020 17:04:00,49,Course view,Assignment
22/03/2020 17:02:00,49,Course view,Page
22/03/2020 16:42:00,189,Course view,Page
24/03/2020 10:45:00,113,Course view,Resource
24/03/2020 10:45:00,113,Course view,Resource
24/03/2020 09:30:00,109,Course view,Page
24/03/2020 09:30:00,109,Course view,Resource
24/03/2020 09:29:00,109,Course view,Resource
24/03/2020 09:29:00,109,Course view,Page
24/03/2020 09:28:00,109,Course view,Page
24/03/2020 09:28:00,109,Course view,Resource
24/03/2020 09:28:00,109,Course view,Page
24/03/2020 09:27:00,109,Course view,Page
24/03/2020 09:27:00,109,Course view,Page
24/03/2020 09:26:00,109,Course view,Page
24/03/2020 09:26:00,109,Course view,Resource
24/03/2020 09:21:00,109,Course view,Resource
24/03/2020 09:21:00,109,Course view,Resource
24/03/2020 09:21:00,109,Course view,Resource
24/03/2020 09:21:00,109,Course view,Resource
24/03/2020 09:21:00,109,Course view,Resource
24/03/2020 09:20:00,109,Course view,Resource
23/03/2020 18:10:00,61,Course view,Resource
23/03/2020 18:03:00,61,Course view,Resource
23/03/2020 18:02:00,61,Course view,Resource
25/03/2020 16:34:00,147,Course view,Resource
25/03/2020 15:38:00,175,Course view,Resource
25/03/2020 15:37:00,175,Course view,Resource
25/03/2020 15:36:00,175,Course view,Resource
25/03/2020 15:36:00,175,Course view,Resource
25/03/2020 15:35:00,175,Course view,Resource
25/03/2020 15:35:00,175,Course view,Resource
25/03/2020 15:34:00,175,Course view,Resource
25/03/2020 15:34:00,175,Course view,Resource
25/03/2020 15:33:00,175,Course view,Resource
25/03/2020 15:33:00,175,Course view,Resource
25/03/2020 15:32:00,175,Course view,Resource
