User;Time_Forum
1;7
2;542
3;545
4;0
5;0
6;954
7;0
8;13
9;6
10;0
11;2
12;1
13;210
14;786
15;498
16;0
17;7
18;3
19;346
20;182
21;2
22;396
23;22
24;0
25;750
26;1
27;18
28;660
29;1
30;632
31;0
32;0
33;39
34;8
35;0
36;25
37;0
38;0
39;0
40;1
41;0
42;1
43;0
44;47
45;0
46;0
47;1
48;115
49;1
50;1
51;36
52;4
53;161
54;0
55;5
56;0
57;0
58;1
59;2993
60;368
61;0
62;0
63;1
64;301
65;0
66;1
67;2
68;3
69;0
70;5
71;2
72;200
73;0
76;188
77;8
78;911
79;665
80;12
81;4
82;1
83;3
85;1
86;0
87;0
88;1220
89;0
90;2
91;2259
92;0
93;0
94;0
95;2
96;0
97;65
98;4
99;10
100;232
101;0
102;3915
103;11
104;2
105;0
106;0
107;5
108;2
109;0
110;3
111;122
112;0
113;718
114;28
115;1
116;0
118;0
119;11
120;3
121;0
122;61
123;179
124;0
125;15
126;15
127;0
128;80
129;224
130;0
131;491
132;274
133;131
134;5
135;772
136;23
137;134
138;34
139;0
140;1205
141;2
142;188
143;98
144;18
145;3
146;3
147;110
148;2
149;353
150;7
151;806
152;0
153;0
154;6
155;0
156;344
157;0
158;0
159;0
160;80
161;1
162;946
163;327
164;0
165;3
166;0
167;240
168;6
169;0
170;7
171;0
172;373
173;157
174;1
175;2
176;0
177;5
178;0
179;405
180;1489
181;2105
182;3
183;0
184;0
185;5
186;3
187;51
188;7
189;0
190;0
191;0
192;1
193;26
194;2
195;23
196;410
197;1
198;76
199;0
200;3
201;1
202;14
203;0
204;23
205;0
207;104
208;3
209;10
210;300
211;0
212;977
213;0
214;32
215;5
216;1
217;223
218;0
219;11
220;4
221;3
222;2
223;3
224;834
225;450
226;0
227;2
228;76
229;538
230;6
231;1
232;1
233;622
234;310
235;154
236;247
237;14
238;19
239;169
240;201
241;112
242;654
243;0
245;0
