User,Time_Theory,Time_Quiz,Time_Forum,Time_Assignment
1,25,0,0,18
2,24,4,321,2
3,0,0,1,0
4,79,2,3,50
5,0,0,19,0
6,39,26,11,14
7,193,13,2050,71
8,33,20,1957,22
11,24,0,33,21
13,30,1,67,31
14,0,0,1,0
15,4,0,17,2
16,0,0,0,0
18,2,17,3,0
19,23,0,174,18
20,0,0,5,0
21,26,6,316,39
24,4,0,0,2
26,8,1,4,0
27,94,4,10,14
28,1,0,122,6
29,2,0,8,0
30,89,27,142,18
31,208,6,606,83
33,26,1,0,0
34,108,19,642,8
35,0,0,2,0
36,42,30,0,23
37,0,0,9,0
39,31,10,5,79
40,0,0,199,0
44,7,14,2,28
45,23,0,0,9
46,0,0,0,0
47,0,0,51,0
48,9,4,370,0
49,15,7,0,0
50,14,0,0,29
51,226,10,292,66
52,37,0,0,1
53,46,3,3,0
54,0,0,5,0
55,20,2,2,32
56,11,0,0,20
57,51,11,0,37
58,0,0,1,0
59,37,20,4,5
60,37,2,438,18
61,7,2,0,0
62,0,0,0,0
63,20,31,0,8
64,42,15,647,26
66,0,0,0,0
67,8,0,78,0
68,28,0,1165,17
69,0,0,2,0
70,170,5,2,55
71,35,10,0,5
72,65,22,768,31
73,55,16,1603,0
74,0,0,2,0
75,43,11,156,37
76,0,0,43,0
78,121,44,723,3
81,29,20,226,24
82,0,0,595,0
83,0,0,1,0
84,10,3,541,4
85,33,0,1115,2
86,4,0,1,0
87,28,0,0,14
88,29,18,11,22
89,130,21,533,40
90,0,0,70,0
91,73,7,242,22
92,105,24,561,66
93,4,0,1,0
94,17,38,10,27
95,8,0,2,10
97,0,11,0,0
99,40,20,19,16
101,63,5,60,73
102,5,0,120,0
104,67,28,180,14
105,0,0,2,0
106,76,18,12,22
108,131,30,405,28
109,0,0,0,0
110,3,5,60,44
111,51,0,64,38
112,3,11,13,17
113,8,0,1,0
114,22,4,375,10
115,3,0,0,0
118,0,0,2,0
119,0,0,2,0
121,76,24,2243,62
122,16,4,79,56
123,45,6,14,1
124,56,0,220,64
125,0,0,0,0
126,40,1,309,18
127,51,17,12,56
128,17,0,155,28
129,16,9,13,20
130,0,0,181,0
131,1,0,0,0
133,0,0,0,0
136,16,3,45,0
137,4,0,1,0
138,3,0,1,0
139,0,0,0,1
140,11,14,68,10
141,45,1,456,11
142,37,8,0,17
145,104,6,319,42
147,6,0,10,0
148,11,0,0,0
149,13,0,2,11
150,31,5,0,4
151,0,0,0,0
152,40,18,1,7
153,23,0,0,26
156,32,0,299,61
157,18,0,2,25
158,14,1,449,15
160,2,0,1,0
161,18,8,3,13
162,22,19,24,11
165,0,0,0,0
167,0,0,10,0
170,4,0,2,0
171,25,18,8,87
172,0,0,36,0
173,15,0,948,0
174,24,24,4,56
175,1,0,5,0
176,26,0,737,25
177,99,0,579,46
178,0,0,0,0
179,62,1,1,69
180,8,4,87,0
181,0,0,19,0
182,60,30,0,33
184,17,8,8,5
185,0,0,1,3
187,83,11,1,0
188,5,5,0,0
189,6,1,9,0
190,62,4,741,40
192,69,8,30,7
193,52,49,990,65
194,7,0,2,0
195,19,3,1,0
196,4,0,0,0
198,54,15,10,14
199,50,4,7,50
200,33,0,0,22
201,66,7,90,70
202,148,1,2,58
203,37,0,0,5
204,15,2,23,1
207,74,15,3,49
208,53,25,271,0
209,0,0,177,0
210,8,0,6,0
211,26,5,17,15
212,10,0,2,2
213,131,20,102,4
214,0,0,7,0
215,40,3,13,10
216,0,0,24,0
217,0,0,0,0
219,17,3,71,7
220,80,1,2648,0
221,145,14,14,18
222,25,0,186,45
223,21,0,47,37
224,3,10,0,17
225,20,0,187,8
226,0,0,118,0
227,67,8,54,42
229,27,25,544,50
230,18,6,0,4
231,30,0,2,12
232,74,1,384,6
233,32,10,258,10
235,32,6,157,28
236,22,2,668,11
237,94,3,0,25
238,37,10,2,1
239,34,21,0,27
240,11,0,557,0
241,103,20,97,82
242,4,0,23,0
243,6,0,0,0
244,0,0,0,0
