User;Time_Quiz
1;0
2;4
4;2
6;26
7;13
8;20
11;0
13;1
14;0
15;0
18;17
19;0
20;0
21;6
24;0
26;1
27;4
29;0
30;27
31;6
33;1
34;19
36;30
39;10
40;0
44;14
45;0
48;4
49;7
50;0
51;10
53;3
55;2
56;0
57;11
59;20
60;2
61;2
62;0
63;31
64;15
67;0
68;0
70;5
71;10
72;22
73;16
74;0
75;11
78;44
81;20
84;3
85;0
86;0
87;0
88;18
89;21
91;7
92;24
93;0
94;38
97;11
99;20
101;5
104;28
106;18
108;30
109;0
110;5
111;0
112;11
113;0
114;4
118;0
121;24
122;4
123;6
124;0
126;1
127;17
128;0
129;9
136;3
138;0
139;0
140;14
141;1
142;8
145;6
149;0
150;5
152;18
153;0
156;0
157;0
158;1
160;0
161;8
162;19
165;0
167;0
170;0
171;18
173;0
174;24
175;0
176;0
177;0
178;0
179;1
180;4
182;30
184;8
185;0
187;11
188;5
189;1
190;4
192;8
193;49
194;0
195;3
198;15
199;4
200;0
201;7
202;1
204;2
207;15
208;25
211;5
212;0
213;20
215;3
216;0
218;0
219;3
220;1
221;14
222;0
223;0
224;10
225;0
226;0
227;8
229;25
230;6
231;0
232;1
233;10
235;6
236;2
237;3
238;10
239;21
241;20
242;0
243;0
